Name,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536
angular_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angular_total, 5,4,4,5,4,4,4,4,4,5,5,5,5,5,4,5
blazor_script, 1,1,1,1,1,1,1,1,1,1,1,4,6,2,31,2
blazor_total, 4,4,4,5,5,5,4,5,4,7,7,16,26,39,79,82
react_script, 0,0,0,0,0,0,0,0,0,1,3,3,6,3,3,8
react_total, 4,5,4,5,5,7,4,4,5,6,7,11,19,25,45,100
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
svelte_total, 4,5,4,4,5,8,8,3,3,4,4,19,20,40,38,138
vue_script, 0,0,0,0,0,0,0,0,0,5,5,7,2,3,8,2
vue_total, 4,4,4,5,4,3,3,4,4,9,12,16,15,25,52,98
vue3_script, 0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6
vue3_total, 4,4,4,4,4,6,3,4,4,4,7,12,17,23,48,109
